iter	Passed	Remaining
0	10	10418
1	15	7725
2	22	7560
3	27	6750
4	32	6479
5	74	12410
6	93	13281
7	98	12244
8	108	11956
9	117	11584
10	124	11214
11	129	10647
12	133	10142
13	140	9911
14	145	9527
15	149	9179
16	156	9040
17	160	8771
18	164	8514
19	171	8395
20	175	8201
21	180	8015
22	186	7908
23	191	7782
24	195	7626
25	200	7506
26	206	7424
27	210	7306
28	214	7179
29	221	7152
30	225	7035
31	229	6937
32	235	6892
33	240	6820
34	244	6730
35	249	6686
36	254	6635
37	259	6561
38	263	6494
39	270	6489
40	275	6432
41	279	6371
42	285	6358
43	290	6305
44	293	6226
45	298	6193
46	303	6159
47	308	6116
48	312	6064
49	319	6066
50	324	6035
51	328	5996
52	335	5995
53	340	5964
54	344	5922
55	351	5922
56	356	5890
57	360	5850
58	366	5841
59	371	5813
60	375	5775
61	380	5761
62	386	5747
63	390	5712
64	395	5683
65	401	5686
66	406	5661
67	411	5636
68	417	5630
69	421	5600
70	426	5574
71	433	5590
72	438	5574
73	443	5553
74	449	5546
75	454	5524
76	458	5495
77	465	5501
78	470	5481
79	474	5457
80	481	5458
81	486	5440
82	490	5418
83	496	5419
84	502	5404
85	507	5391
86	514	5396
87	518	5378
88	524	5364
89	531	5373
90	537	5365
91	543	5364
92	549	5354
93	553	5338
94	559	5330
95	565	5320
96	569	5304
97	575	5297
98	581	5293
99	586	5277
100	592	5271
101	598	5266
102	602	5250
103	610	5255
104	615	5245
105	620	5232
106	627	5237
107	632	5226
108	637	5213
109	645	5219
110	650	5211
111	655	5199
112	662	5197
113	667	5188
114	674	5187
115	679	5177
116	685	5170
117	693	5182
118	699	5175
119	705	5172
120	711	5166
121	717	5163
122	725	5170
123	730	5162
124	736	5154
125	744	5165
126	751	5162
127	759	5173
128	764	5164
129	771	5164
130	778	5162
131	783	5152
132	791	5159
133	797	5151
134	803	5147
135	809	5144
136	827	5210
137	838	5235
138	843	5226
139	851	5232
140	857	5221
141	863	5216
142	869	5212
143	874	5199
144	882	5203
145	888	5195
146	893	5185
147	901	5186
148	906	5176
149	913	5177
150	919	5169
151	924	5159
152	932	5163
153	938	5156
154	945	5153
155	950	5144
156	956	5135
157	964	5139
158	970	5131
159	976	5128
160	983	5123
161	988	5113
162	995	5113
163	1001	5105
164	1006	5093
165	1014	5097
166	1020	5090
167	1028	5092
168	1034	5087
169	1042	5089
170	1048	5084
171	1054	5078
172	1063	5085
173	1069	5075
174	1076	5075
175	1081	5065
176	1086	5054
177	1094	5056
178	1100	5046
179	1106	5039
180	1112	5033
181	1117	5024
182	1125	5024
183	1131	5016
184	1136	5007
185	1144	5009
186	1150	5003
187	1157	5001
188	1163	4993
189	1168	4983
190	1177	4986
191	1183	4980
192	1190	4979
193	1196	4972
194	1202	4963
195	1210	4967
196	1216	4958
197	1223	4956
198	1231	4955
199	1238	4954
200	1244	4948
201	1250	4938
202	1258	4940
203	1264	4932
204	1271	4929
205	1276	4921
206	1283	4915
207	1293	4925
208	1304	4936
209	1312	4938
210	1319	4935
211	1325	4926
212	1330	4916
213	1337	4912
214	1343	4904
215	1348	4895
216	1356	4896
217	1362	4885
218	1370	4887
219	1376	4879
220	1381	4869
221	1389	4867
222	1394	4857
223	1400	4851
224	1406	4843
225	1411	4834
226	1418	4830
227	1424	4821
228	1429	4814
229	1438	4816
230	1444	4808
231	1451	4804
232	1457	4796
233	1462	4786
234	1471	4788
235	1477	4784
236	1485	4782
237	1491	4774
238	1496	4764
239	1503	4762
240	1509	4753
241	1516	4749
242	1521	4740
243	1526	4730
244	1535	4731
245	1540	4722
246	1547	4717
247	1553	4710
248	1558	4700
249	1564	4694
250	1569	4684
251	1574	4674
252	1581	4670
253	1586	4660
254	1592	4651
255	1598	4646
256	1603	4636
257	1608	4627
258	1615	4622
259	1620	4612
260	1626	4605
261	1632	4598
262	1637	4589
263	1642	4579
264	1649	4576
265	1655	4569
266	1661	4562
267	1666	4552
268	1671	4543
269	1677	4534
270	1682	4526
271	1687	4516
272	1692	4507
273	1698	4499
274	1703	4489
275	1708	4481
276	1713	4473
277	1718	4463
278	1725	4458
279	1730	4449
280	1735	4440
281	1740	4431
282	1746	4424
283	1751	4414
284	1756	4405
285	1762	4400
286	1767	4391
287	1772	4382
288	1778	4374
289	1783	4365
290	1788	4357
291	1794	4350
292	1799	4341
293	1804	4333
294	1810	4327
295	1815	4318
296	1820	4309
297	1826	4302
298	1831	4293
299	1836	4284
300	1842	4279
301	1847	4270
302	1852	4261
303	1858	4254
304	1863	4245
305	1867	4236
